,release_year,id,popularity,budget,revenue,runtime,vote_count,vote_average,budget_adj,revenue_adj,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,profit
27,1987,2048079,63.07956399999998,1722281971,3462678519,12646,15064,766.1000000000003,1361502768.5613928,6644057686.40651,29,17,4,57,21,0,52,16,18,0,3,25,4,7,24,18,2,28,6,1,1740396548
28,1988,2707730,67.43066699999996,2070281920,3740243581,14760,14576,865.0,1706240870.4345672,6895324233.485273,32,15,7,69,21,5,54,17,16,1,4,36,8,9,19,18,2,33,6,0,1669961661
29,1989,2629704,77.22115499999997,2121839800,5165573158,14355,18657,831.5999999999996,1899099276.5822606,9085023031.269281,38,24,5,63,25,2,54,17,16,2,4,25,3,8,22,21,0,35,4,1,3043733358
30,1990,1857851,70.71699600000001,2332105506,5315761980,13946,21575,791.1999999999998,2152749053.066964,8870473880.402716,39,23,4,48,30,1,60,12,13,1,4,26,2,14,19,18,1,46,2,3,2983656474
31,1991,1905608,66.64495899999997,2523095080,4707281708,13980,17006,799.9000000000002,2347575160.90182,7535703243.205673,39,21,3,60,20,3,63,21,19,3,1,13,7,9,26,13,0,37,2,2,2184186628
32,1992,1794978,77.52736399999996,2439912890,6078705241,14235,19447,808.7999999999998,2240538354.4064183,9445597522.32588,34,17,4,54,25,1,65,16,14,3,4,16,6,10,31,16,0,45,1,2,3638792351
33,1993,2788827,97.37595299999998,3086027613,6955908847,19068,24284,1076.8999999999994,2686295994.6818314,10498591765.660204,53,26,6,72,28,1,90,29,13,5,8,18,6,15,34,18,0,45,6,3,3869881234
34,1994,3231011,123.06373300000001,3682392392,7096479105,19672,37591,1093.4000000000003,3279412237.971121,10438167896.785616,61,33,8,88,26,2,83,35,24,3,3,13,3,10,35,20,5,45,3,8,3414086713
35,1995,2920928,124.37636600000003,4054854217,9157152960,18821,35810,1059.8,4100985588.4464817,13102420823.887745,47,32,7,63,31,2,93,33,17,2,7,19,0,14,37,18,1,49,5,3,5102298743
36,1996,3066028,123.37274699999993,4934726451,8312574679,21564,26031,1203.7999999999997,5125787576.550545,11554775692.004686,42,30,8,91,19,3,104,31,22,2,5,17,4,13,44,24,2,61,3,0,3377848228
37,1997,2925074,136.70462999999998,5866663315,10656093274,20449,40985,1149.7999999999997,6454162729.961844,14474630052.538425,59,35,10,77,28,2,83,33,21,3,7,18,4,21,32,29,1,61,1,0,4789429959
38,1998,3092866,131.49458799999994,5967524000,9494300634,22063,40042,1253.8000000000002,6019174794.392839,12698977101.73025,43,38,16,84,34,3,108,34,22,4,7,23,12,18,41,26,3,53,3,1,3526776634
39,1999,4150239,144.65897099999992,6866133106,11356859923,24385,53447,1351.3,7546997426.794804,14865227876.646881,38,20,13,100,29,5,113,29,23,6,7,26,5,24,42,29,6,53,3,3,4490726817
40,2000,3611297,124.123452,6971027120,10979956596,23558,46206,1335.2999999999995,7284598646.181757,13902242517.22661,47,28,27,97,31,3,101,34,21,4,4,21,10,14,47,24,1,63,5,2,4008929476
41,2001,4144137,170.04316300000005,7095129360,13411317075,26144,63058,1426.8999999999999,6947986991.052124,16514358029.55494,61,40,18,101,39,5,100,31,25,4,12,23,6,22,53,25,10,66,12,2,6316187715
42,2002,3607313,186.58684900000011,7362504255,14644993176,28426,62904,1588.9000000000003,7145844810.418061,17751893404.400917,72,45,21,104,41,10,130,39,20,11,8,30,4,28,48,28,3,84,7,1,7282488921
43,2003,5527642,202.06228999999988,8118723614,15139780550,28291,68425,1666.6000000000004,7396431820.649487,17944157019.87168,73,41,29,111,46,11,110,44,27,5,9,24,11,19,49,41,3,73,8,4,7021056936
44,2004,4468149,221.78859199999994,8990491582,16795370450,32347,79200,1838.4999999999982,8277766284.375905,19387551266.611282,75,49,23,125,32,12,141,40,19,7,7,29,13,27,63,34,6,74,8,7,7804878868
45,2005,5140666,228.83345300000025,9647830829,16518783428,37378,73336,2135.3999999999996,8199241729.587791,18442091742.869267,70,53,26,143,45,17,182,57,35,10,10,56,13,29,62,25,3,92,5,2,6870952599
46,2006,5906687,247.39924999999977,10197877380,16277925833,41487,76083,2424.1,7902875303.77325,17604965321.14591,80,55,39,155,53,16,197,65,34,10,12,56,12,30,70,30,8,114,7,1,6080048453
47,2007,6905567,259.1732480000001,10762119324,19414277254,43820,90367,2598.100000000002,8030088032.022018,20414642076.692066,93,58,32,151,65,19,195,44,45,17,13,79,15,34,74,40,6,125,6,5,8652157930
48,2008,9101362,290.0691910000003,11612387637,19434834098,49739,102562,2941.7000000000025,7880758752.400801,19680161108.020954,99,63,33,169,62,26,233,56,43,18,24,76,20,29,84,52,5,127,18,2,7822446461
49,2009,16123913,319.03024800000014,12718781896,22183753303,52182,119613,3108.299999999998,8735030765.424725,22543934985.133087,106,72,46,198,52,25,224,60,48,17,16,90,17,51,83,69,8,157,12,0,9464971407
50,2010,22999794,315.36540299999956,12995303726,21961964849,47824,130029,2921.9,9355001006.0,21959031545.0,107,59,50,169,50,35,210,55,44,13,14,78,9,32,85,45,8,134,7,6,8966661123
51,2011,37302676,364.53742400000016,12863957332,23698827954,52878,135439,3217.599999999999,8742180498.037928,22970460093.760128,115,62,46,172,48,49,214,72,46,14,8,78,17,38,75,56,10,146,9,3,10834870622
52,2012,60907628,356.7739109999997,13411608052,24672433704,57427,183514,3396.0999999999995,7858264011.814789,23428699205.538864,99,50,40,175,54,49,232,42,34,6,13,104,22,33,79,54,14,160,10,4,11260825652
53,2013,111630815,413.6020719999998,14916671541,24708114153,63286,214475,3867.8,8645239485.069317,23123424437.771534,120,67,42,175,71,62,253,48,39,0,14,102,30,38,65,60,10,175,7,3,9791442612
54,2014,169815432,620.7574560000008,14720200458,24336248287,68788,206249,4137.700000000003,7298716402.513086,22411204688.537624,129,67,36,185,65,73,284,43,36,0,15,105,28,36,84,62,14,179,23,6,9616047829
55,2015,186308175,648.1750269999992,13732219077,26766910006,60595,182410,3694.5999999999967,6988820677.358886,24621443643.124752,107,69,39,162,51,56,260,44,33,0,15,125,33,42,57,85,20,171,9,6,13034690929
